2025-04-14 19:46:14, Pitch: -29.57, Roll: 58.70, Temp: 36.02°C
2025-04-14 19:46:15, Pitch: -30.24, Roll: 54.73, Temp: 36.02°C
2025-04-14 19:46:16, Pitch: -4.64, Roll: 3.71, Temp: 36.51°C
2025-04-14 19:46:17, Pitch: 1.78, Roll: -0.89, Temp: 36.02°C
2025-04-14 19:46:18, Pitch: 24.23, Roll: -36.86, Temp: 36.02°C
2025-04-14 19:46:20, Pitch: 25.36, Roll: -37.55, Temp: 36.02°C
2025-04-14 19:46:21, Pitch: 14.21, Roll: 11.33, Temp: 37.00°C
2025-04-14 19:46:22, Pitch: -16.59, Roll: 71.18, Temp: 35.05°C
2025-04-14 19:46:23, Pitch: 22.56, Roll: -7.21, Temp: 37.49°C
2025-04-14 19:46:25, Pitch: -1.25, Roll: -0.42, Temp: 35.54°C
2025-04-14 19:46:26, Pitch: 0.00, Roll: -2.68, Temp: 35.54°C
2025-04-14 19:46:27, Pitch: 0.00, Roll: -2.24, Temp: 36.51°C
2025-04-14 19:46:28, Pitch: 0.00, Roll: -1.80, Temp: 35.54°C
2025-04-14 19:46:29, Pitch: -14.70, Roll: 63.57, Temp: 35.54°C
2025-04-14 19:46:31, Pitch: 7.03, Roll: 19.33, Temp: 35.54°C
2025-04-14 19:46:32, Pitch: 3.04, Roll: 18.55, Temp: 37.49°C
2025-04-14 19:46:33, Pitch: 0.00, Roll: -0.45, Temp: 36.02°C
2025-04-14 19:46:34, Pitch: -0.45, Roll: 0.00, Temp: 36.51°C
2025-04-14 19:46:36, Pitch: 0.00, Roll: 0.00, Temp: 36.02°C
2025-04-14 19:46:37, Pitch: -0.45, Roll: -0.45, Temp: 36.51°C
2025-04-14 19:46:38, Pitch: 0.00, Roll: 0.00, Temp: 36.02°C
2025-04-14 19:46:39, Pitch: -0.46, Roll: 0.00, Temp: 35.54°C
2025-04-14 19:46:40, Pitch: 0.00, Roll: -0.45, Temp: 35.54°C
2025-04-14 19:46:42, Pitch: 0.46, Roll: 8.26, Temp: 35.05°C
2025-04-14 19:46:43, Pitch: 0.00, Roll: -0.45, Temp: 36.02°C
2025-04-14 19:46:44, Pitch: 0.00, Roll: -1.36, Temp: 36.51°C
2025-04-14 19:46:45, Pitch: 0.00, Roll: -1.35, Temp: 36.02°C
2025-04-14 19:46:46, Pitch: -0.92, Roll: -1.83, Temp: 35.54°C
2025-04-14 19:46:48, Pitch: 0.00, Roll: -1.35, Temp: 36.51°C
2025-04-14 19:46:49, Pitch: 0.00, Roll: -1.78, Temp: 35.54°C
